title,artist,nationality,date,medium,classification,department,object_id,url,image_url
Rotoreliefs (Optical Disks),Marcel Duchamp,(American),"1935, published 1953",One from a series of six offset lithographs,Print,Drawings & Prints,217893,https://www.moma.org/collection/works/217893,https://www.moma.org/media/W1siZiIsIjM4ODEyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=82956f1c4d80ba81
Untitled from Verde y Negro,Carmen Herrera,(Cuban),2017,One from a portfolio of three lithographs,Print,Drawings & Prints,288425,https://www.moma.org/collection/works/288425,https://www.moma.org/media/W1siZiIsIjQ0ODg5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f991ef57183eeb68
handbikemovie from the Museum in Progress project Interventions in Progress,Martin Bruch,(Austrian),2003-2005,"Lithograph, offset printed",Print,Drawings & Prints,115047,https://www.moma.org/collection/works/115047,정보없음
Trieste Ledger Series,William Kentridge,(South African),(2002),Charcoal on ledger page,Drawing,Drawings & Prints,96336,https://www.moma.org/collection/works/96336,https://www.moma.org/media/W1siZiIsIjE1NjEzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1fda14d04d8b626d
"Die Aktion, vol. 4, no. 20",Georg Tappert,(German),"May 16, 1914",Periodical with reproduction on cover and one woodcut by Georg Tappert,Periodical,Drawings & Prints,144327,https://www.moma.org/collection/works/144327,https://www.moma.org/media/W1siZiIsIjI0MTY5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2011f032f58f4d5e
Variations on a Man #3 (Variaciones sobre un Hombre #3),Rufino Tamayo,(Mexican),1964,Lithograph,Print,Drawings & Prints,76882,https://www.moma.org/collection/works/76882,https://www.moma.org/media/W1siZiIsIjU0NTE0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a1bfdbfa049d66e7
Headpiece (page 55) from LES FABLES,André Collot,(French),1941,"Woodcut, printed in color",Illustrated Book,Drawings & Prints,23510,정보없음,정보없음
Wall-Covering Material,Anni Albers,(American),1929,Linen and cellophane,Design,Architecture & Design,3531,https://www.moma.org/collection/works/3531,https://www.moma.org/media/W1siZiIsIjM5MDE4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2450fbeec14106f6
Untitled from Traces of Anonymous Pupil Authors,Haegue Yang,(Korean),2001,One of sixteen offset lithographs,Print,Drawings & Prints,142706,정보없음,정보없음
"Emperor Nicholas II, Empress Alexandra Feodorovna with an Umbrella and Grand Duchess Olga Alexandrovna on a Walk Through the Woods in Sarov",Unidentified photographer,(),"July 12-21, 1903",Gelatin silver printing-out-paper print,Photograph,Photography,86470,https://www.moma.org/collection/works/86470,https://www.moma.org/media/W1siZiIsIjM0NjIzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d1cef8bc2a336d61
Fat Boy from Side Show,Peter Blake,(British),1974-78,One from a portfolio of five wood engravings,Print,Drawings & Prints,75383,https://www.moma.org/collection/works/75383,정보없음
The Other Room (Shut-in Suite I),Paul Harris,(American),"1969, published 1970",One from a portfolio of twenty-one lithographs,Print,Drawings & Prints,66717,https://www.moma.org/collection/works/66717,https://www.moma.org/media/W1siZiIsIjU0MzYzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=927ca7c5e6c64221
"Cementerio de la Ciudad Abierta, Ritoque, Chile",Juan Baixas,(Chilean),1975,Pencil and ink on paper,Architecture,Architecture & Design,187486,정보없음,정보없음
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, IL (Exterior elevation.)",Ludwig Mies van der Rohe,(American),1945—1946,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,458197,정보없음,정보없음
"King Arthur's Court, Church Universal and Triumphant, Pray, Montana",David T. Hanson,(American),1998,Chromogenic print,Photograph,Photography,118819,https://www.moma.org/collection/works/118819,https://www.moma.org/media/W1siZiIsIjIzNDM0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0481fc4f5eb5eb53
Black Domestic a.k.a. Cow Commercial,Pope.L,(American),1994,"Video (color, sound)",Video,Media and Performance,295108,정보없음,정보없음
G4 Cube Computer,"Apple Industrial Design Group, Jonathan Ive",(American) (British),c. 2000,Polycarbonate plastic and other materials,Design,Architecture & Design,82134,https://www.moma.org/collection/works/82134,https://www.moma.org/media/W1siZiIsIjUzMDI1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=780a6f3e6d94655b
Plate from the supplementary suite of Les Chants de Maldoror (The Songs of Maldoror),Salvador Dalí,(Spanish),1934,"One from the supplementary suite of forty-four etchings, some with drypoint",Illustrated Book,Drawings & Prints,502698,정보없음,정보없음
"Weak, Weaker, on the Left (Schwach, schwächer, links) (plate, folio 5 verso) from Caroline",Meret Oppenheim,(Swiss),1985,"Etching and soft ground etching, printed in color",Illustrated Book,Drawings & Prints,12746,정보없음,정보없음
"House, South End, Boston, Massachusetts",Walker Evans,(American),1932,Gelatin silver print,Photograph,Photography,43962,https://www.moma.org/collection/works/43962,https://www.moma.org/media/W1siZiIsIjI1ODY0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=35114029764ffc91
"Resor House project, Jackson Hole, WY (Doors. Elevations, plans, perspectives. Structural details. Sketch.)",Ludwig Mies van der Rohe,(American),1937—1938,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,494444,정보없음,정보없음
Untitled from Cuban Sketch Book,Jules Pascin,(American),(c. 1914-20),"Pencil, conté crayon, and wash on paper",Drawing,Drawings & Prints,34396,https://www.moma.org/collection/works/34396,정보없음
"Ron Bacardi y Compania, S.A., Administration Building, Santiago, Cuba (Brick course elevation.)",Ludwig Mies van der Rohe,(American),1957—1960,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,467063,정보없음,정보없음
Blood of the Artist from Stains,Edward Ruscha,(American),1969,Stain on the inside back cover of the box housing a portfolio of seventy-six mixed media stains (including cover),Print,Drawings & Prints,62722,https://www.moma.org/collection/works/62722,https://www.moma.org/media/W1siZiIsIjUxNTUxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d80bf4dac2722d8d
Untitled (Computer Generated Series),Louise Bourgeois,(American),c. 2000,"Digital print, with hand additions",Print,Drawings & Prints,172925,정보없음,정보없음
"Franco, Man of Honor, Swearing to Defend the Republic (Franco, hombre de honor, jura defender la república), plate 1, from Franco's Spain (La España de Franco)",Leopoldo Méndez,(Mexican),1938,One from a portfolio of fifteen lithographs,Print,Drawings & Prints,59870,정보없음,정보없음
"Resor House project, Jackson Hole, WY (Structural detail. Section. Sketch.)",Ludwig Mies van der Rohe,(American),1937—1938,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,494560,정보없음,정보없음
Morning Haze Over Coal Mine,Hajime Tsuchizaki,(Japanese),c. 1950,Gelatin silver print,Photograph,Photography,49386,https://www.moma.org/collection/works/49386,https://www.moma.org/media/W1siZiIsIjIwMTA2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e6da81da70df7341
Angels,Rene Portocarrero,(Cuban),1941,Watercolor and ink on notebook paper,Drawing,Drawings & Prints,86131,https://www.moma.org/collection/works/86131,https://www.moma.org/media/W1siZiIsIjUxMDYxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da356c6471cfa3ba
"The Funerall (plate, page 87) from Songs and Sonets",June Wayne,(American),1959,Lithograph from an illustrated book with seventeen lithographs,Illustrated Book,Drawings & Prints,18265,정보없음,정보없음
Cup Gets the Worm,Ken Price,(American),1968,Lithograph,Print,Drawings & Prints,71538,https://www.moma.org/collection/works/71538,https://www.moma.org/media/W1siZiIsIjE4MDg1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f87a05de84cd052c
"860/880 Lake Shore Drive Apartment Building, Chicago, IL (Floor plan. Sketch.)",Ludwig Mies van der Rohe,(American),1948—1951,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,461970,정보없음,정보없음
"United Silk-Weaving Mills Factory Building, Krefeld, Germany (Basement plan.)",Ludwig Mies van der Rohe,(American),1930—1935,Print of 9.96,Mies van der Rohe Archive,Architecture & Design,486836,정보없음,정보없음
"If he should fall, is your blood there to save him? Blood Donors",Abram Games,(British),c.1943,Lithograph,Design,Architecture & Design,4832,https://www.moma.org/collection/works/4832,https://www.moma.org/media/W1siZiIsIjU2NDcxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=482f08d7cee1ec8e
Arcs from Four Corners,Sol LeWitt,(American),1986,Woodcut,Print,Drawings & Prints,185849,https://www.moma.org/collection/works/185849,https://www.moma.org/media/W1siZiIsIjMxMDA4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5e6fbcbb76260a4f
Information Landscapes,"Muriel Cooper, Lisa Strausfeld, David Small, Suguru Ishizaki, Robert Silvers, Earl Rennison, Yin Yin Wong, Jeffrey Ventrella",(American) (American) (American) (American) (American) (American) (American) (American),1994,Multimedia video,Design,Architecture & Design,199050,https://www.moma.org/collection/works/199050,https://www.moma.org/media/W1siZiIsIjM3NTIzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4dc1e66254634929
Plate (page 122) from PASSION,Georges Rouault,(French),1928-1939,"Wood engraving, printed in black",Illustrated Book,Drawings & Prints,30579,정보없음,정보없음
The Flying Kayak,Chris Burden,(American),1983,"Canvas and wood kayak, wood staircase, four electric fans, 16mm film loop, and projector",Installation,Painting & Sculpture,81116,https://www.moma.org/collection/works/81116,정보없음
The Landsgemeinde in Switzerland,Robert Frank,(American),1949,Gelatin silver print,Photograph,Photography,47732,https://www.moma.org/collection/works/47732,https://www.moma.org/media/W1siZiIsIjQ1NTg0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=eb00c68f23e3159b
Woven Fabric Sample,Anni Albers,(American),c. 1951,Linen and metallic thread,Design,Architecture & Design,104736,https://www.moma.org/collection/works/104736,https://www.moma.org/media/W1siZiIsIjUxOTkzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ef99033dba751599
Le Renchéri (One Up-man-ship) (plate facing page 106) from Cirque de l'étoile filante (The Shooting Star Circus),Georges Rouault,(French),"1935, published 1938","Aquatint, etching, and drypoint from an illustrated book with seventy-four wood engravings and seventeen aquatint and etchings (eleven with drypoint)",Illustrated Book,Drawings & Prints,30442,https://www.moma.org/collection/works/30442,https://www.moma.org/media/W1siZiIsIjE4OTUwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c4ff849ae7363a21
CLUNY. MASCARONS DU PONT NEUF,Eugène Atget,(French),1911,Albumen silver print,Photograph,Photography,42070,정보없음,정보없음
"Cementerio de la Ciudad Abierta, Ritoque, Chile",Juan Baixas,(Chilean),1975,Pencil on tracing paper,Architecture,Architecture & Design,184825,https://www.moma.org/collection/works/184825,https://www.moma.org/media/W1siZiIsIjMzMDk2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1ca6d6a8a966dd70
"Mess Mend ili Ianki v Petrograde, vol. 1",Aleksandr Rodchenko,(Russian),1924,Cover with letterpress lettering and photomontage illustration,Illustrated Book,Drawings & Prints,91242,https://www.moma.org/collection/works/91242,https://www.moma.org/media/W1siZiIsIjUzMDY0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=36e50067f7ea1999
Arizpe 14,Aaron Siskind,(American),1966,Gelatin silver print,Photograph,Photography,49466,https://www.moma.org/collection/works/49466,https://www.moma.org/media/W1siZiIsIjE4NDE5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=60c43da9031c1462
Vastie,Unidentified photographer,(),c. 1955,Gelatin silver print,Photograph,Photography,171257,https://www.moma.org/collection/works/171257,https://www.moma.org/media/W1siZiIsIjI3MzI2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a251ff0f78685f1c
Torture (2) from an untitled portfolio,Tadanori Yokoo,(Japanese),"1969, published 1971",Reproduction from a portfolio of one screenprint and eight reproductions,Print,Drawings & Prints,447895,https://www.moma.org/collection/works/447895,https://www.moma.org/media/W1siZiIsIjU0MDUyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=82848e9b5d09a18e
Gestures,Hannah Wilke,(American),1974,"Video (black and white, sound)",Video,Media and Performance,118380,https://www.moma.org/collection/works/118380,https://www.moma.org/media/W1siZiIsIjE1MTY2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7091d64441c3299a
Fontana Table,Pietro Chiesa,(Italian),1932,Glass,Design,Architecture & Design,105052,https://www.moma.org/collection/works/105052,https://www.moma.org/media/W1siZiIsIjEyODk4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c3e888be80cd7ce9
"Feferman's Army Navy Store, 201 E. 4th",Stephen Shore,(American),1971,Offset lithograph,Photograph,Photography,109002,https://www.moma.org/collection/works/109002,https://www.moma.org/media/W1siZiIsIjI3MTgwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7485bf9b809c16ba
Front Page from Newspaper Book,Chryssa,(American),1962,One from a series of twenty-two offset photolithographs,Print,Drawings & Prints,73945,https://www.moma.org/collection/works/73945,https://www.moma.org/media/W1siZiIsIjM4ODkxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e0109a58e76477ca
For Example: Decorated,Lawrence Weiner,(American),1977,"Video (color, sound)",Video,Media and Performance,167264,https://www.moma.org/collection/works/167264,https://www.moma.org/media/W1siZiIsIjI2MzMwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a0b352128b141bdc
Untitled,Mario Merz,(Italian),1988,Aquatint and drypoint,Print,Drawings & Prints,59961,https://www.moma.org/collection/works/59961,https://www.moma.org/media/W1siZiIsIjI3NDk2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=76dd881b5fc60051
Plastics,Shomei Tomatsu,(Japanese),1991,Silver dye bleach print,Photograph,Photography,51301,https://www.moma.org/collection/works/51301,https://www.moma.org/media/W1siZiIsIjIwMTEzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0b2fe8df61887fc0
"Variant of plate from page 39 (supplementary suite, plate 5) from SARX",Gérard Titus-Carmel,(French),1977,"Lift ground aquatint and drypoint, printed in color",Illustrated Book,Drawings & Prints,14306,정보없음,정보없음
Headpiece (page 59) from SYLVIE,Pierre Laprade,(French),1938-1940,"Etching and lift ground aquatint, printed in color",Illustrated Book,Drawings & Prints,26900,정보없음,정보없음
"Eroded Rock, Point Lobos",Edward Weston,(American),1930,"Gelatin silver print, printed 1952",Photograph,Photography,46651,https://www.moma.org/collection/works/46651,https://www.moma.org/media/W1siZiIsIjIwODI1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f8a66a5ce1a0aea6
Lugar de Consuelo (Place of Solace) - Scarecrow,Naufus Ramírez-Figueroa,(Guatemalan),2016,Costume and props,Installation,Media and Performance,448307,정보없음,정보없음
Untitled,Yves Tanguy,(American),1939,Ink on paper,Drawing,Drawings & Prints,36888,https://www.moma.org/collection/works/36888,https://www.moma.org/media/W1siZiIsIjMzOTI5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5003539bdb7f25ac
"Région Centrale (Taches et Granulations), April 1, 1884, 10h 55m 23s",Jules Janssen,(French),"August 5, 1877-June 22, 1894",woodburytype,Photograph,Photography,140529,https://www.moma.org/collection/works/140529,https://www.moma.org/media/W1siZiIsIjIxMzU1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=19e25f69ea0f7530
(Blood Droplet on Hand),Larry Clark,(American),1963-71,"Gelatin silver print, printed 1980",Photograph,Photography,50051,정보없음,정보없음
S.M.S. No. 1,"La Monte Young, Nancy Reitkopf, Irving Petlin, Sol Mednick, Kasper König, Julien Levy, Richard Hamilton, Marian Zazeela, James Lee Byars, Su Braden, Walter De Maria, Various Artists",(American) (American) (American) (American) (German) (American) (British) (American) (American) (British) (American) (),1968,Journal with thirteen special edition projects,Illustrated Book,Drawings & Prints,69468,https://www.moma.org/collection/works/69468,https://www.moma.org/media/W1siZiIsIjMwNjU5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1cf8e8a7875836b0
"860/880 Lake Shore Drive Apartment Building, Chicago, IL (Elevation.)",Ludwig Mies van der Rohe,(American),1948—1951,Pencil on vellum,Mies van der Rohe Archive,Architecture & Design,461903,정보없음,정보없음
Libro Siza,Juan Araujo,(Venezuelan),2008,Mixed media,Drawing,Drawings & Prints,130858,https://www.moma.org/collection/works/130858,정보없음
Nesso Table Lamp,"Gruppo Architetti Urbanisti Città Nuova, Giancarlo Mattioli",(Italian) (Italian),1965,Fiberglass-reinforced polyester resin,Design,Architecture & Design,3310,https://www.moma.org/collection/works/3310,https://www.moma.org/media/W1siZiIsIjIxMTA4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4246c7967d3f62f4
Legs,Claes Oldenburg,(American),1961,Etching and aquatint,Print,Drawings & Prints,87790,https://www.moma.org/collection/works/87790,https://www.moma.org/media/W1siZiIsIjE5MDA0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1c7e183072064864
Portrait of Maria Lani,Chaim Soutine,(French),1929,Oil on canvas,Painting,Painting & Sculpture,79361,https://www.moma.org/collection/works/79361,https://www.moma.org/media/W1siZiIsIjE1ODEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=64e4b13cdf6862cc
Untitled,Robert Morris,(American),1962,Gouache on newspaper,Drawing,Drawings & Prints,133797,https://www.moma.org/collection/works/133797,https://www.moma.org/media/W1siZiIsIjIzNzUxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ec8d893c8072737b
In Love,Patty Chang,(American),2001,"Two-channel video (color, sound)",Installation,Media and Performance,153214,https://www.moma.org/collection/works/153214,https://www.moma.org/media/W1siZiIsIjIyNzc4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=216993a8a12e35ce
Untitled from Full Moon in Aries (Vollmond im Widder),Sigmar Polke,(German),2004,One from a portfolio of forty screenprint and lithographs,Print,Drawings & Prints,216614,https://www.moma.org/collection/works/216614,https://www.moma.org/media/W1siZiIsIjM4Nzg1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5cdd43e73747eb89
Woman Giving Birth,Louise Bourgeois,(American),2007,Drypoint,Print,Drawings & Prints,282439,https://www.moma.org/collection/works/282439,https://www.moma.org/media/W1siZiIsIjQyODgxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=40f3a08c2859853e
"Imperial Exposition of the German Textile and Garment Industry, Berlin, Germany (Elevations. Shelves.)",Lilly Reich,(German),1937,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,148331,정보없음,정보없음
"Inert Gas Series/Helium, Neon, Argon, Krypton, Xenon/From a Measured Volume to Indefinite Expansion",Robert Barry,(American),1969,Letterpress,Print,Drawings & Prints,109710,https://www.moma.org/collection/works/109710,https://www.moma.org/media/W1siZiIsIjEzMzU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=84a7b68d4c3a0258
Hold My Bones,Louise Bourgeois,(American),2000,"Drypoint, with hand additions",Print,Drawings & Prints,119328,https://www.moma.org/collection/works/119328,https://www.moma.org/media/W1siZiIsIjE0MTg3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ff66c9ce04ad13e0
"PORTRAIT OF W. BLAKE, plate 108, BLAKE: AN IMAGINED DEATH MASK, plate 109, and BLAKE AFTER A DRAWING BY JOHN LINNELL, plate 110 (folio 42) from",Leonard Baskin,(American),(Prints executed 1956),"3 wood engravings, printed in black",Illustrated Book,Drawings & Prints,18670,정보없음,정보없음
Eau de Cologne (Partner) from Stains,Edward Ruscha,(American),1969,One from a portfolio of seventy-six mixed media stains (including cover),Print,Drawings & Prints,62659,https://www.moma.org/collection/works/62659,https://www.moma.org/media/W1siZiIsIjEyODIyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=82d6375841ef275f
"Premier Mai, Paris",Izis,(French),c. 1958,Gelatin silver print,Photograph,Photography,48077,https://www.moma.org/collection/works/48077,https://www.moma.org/media/W1siZiIsIjIwMDcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=98cd39731900c8ee
Untitled,Henry Heerup,(Danish),1945,Linocut,Print,Drawings & Prints,60566,https://www.moma.org/collection/works/60566,https://www.moma.org/media/W1siZiIsIjU2ODY3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b4a71c63473c874e
"Twice Sold Object: Rubber Duck ""Black Factory""",Pope.L,(American),2004–06,Rubber duck,Installation,Drawings & Prints,223646,정보없음,정보없음
Yakima,Lee Friedlander,(American),1977,Gelatin silver print,Photograph,Photography,54919,https://www.moma.org/collection/works/54919,https://www.moma.org/media/W1siZiIsIjQ1OTk1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a0b361956ff877e2
In-text plate (page 49) from HISTOIRE NATURELLE,Démétrius Emmanuel Galanis,(French),1939,"Etching, printed in black",Illustrated Book,Drawings & Prints,26158,정보없음,정보없음
"""The Shortest Day of the Year in the Far North""",J.C.P. Skottowe/Times Wide World Photos,(American),"December 22, 1935",Gelatin silver print,Photograph,Photography,58700,https://www.moma.org/collection/works/58700,https://www.moma.org/media/W1siZiIsIjIzNTM2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6cb1af446ec62e24
Chicago,Harry Callahan,(American),c. 1959,Gelatin silver print,Photograph,Photography,124504,https://www.moma.org/collection/works/124504,https://www.moma.org/media/W1siZiIsIjE4MzkxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4b7d6c0ce70bc462
Jardin de Cluny,Eugène Atget,(French),1911-12,Albumen silver print,Photograph,Photography,43427,https://www.moma.org/collection/works/43427,https://www.moma.org/media/W1siZiIsIjI3NDU5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=054da576f0a1282c
"Yukio Mishima, The Aesthetics of End",Tadanori Yokoo,(Japanese),1966,Silkscreen,Design,Architecture & Design,7955,https://www.moma.org/collection/works/7955,https://www.moma.org/media/W1siZiIsIjI1MTIyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ccdc92d35abd530b
"Plate (folio 35) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,(American),1980,One from an illustrated book with sixty-three etchings,Illustrated Book,Drawings & Prints,17628,https://www.moma.org/collection/works/17628,https://www.moma.org/media/W1siZiIsIjIwMDQ3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=098471fb33d081e8
QUAI CONTI,Eugène Atget,(French),1925,Gelatin silver printing-out-paper print,Photograph,Photography,43279,정보없음,정보없음
Untitled from Women are Beautiful,Garry Winogrand,(American),1950s,Gelatin silver print,Photograph,Photography,111055,https://www.moma.org/collection/works/111055,https://www.moma.org/media/W1siZiIsIjE5MjkzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=901555f45938a49e
"(THE BARRACKS AT ROUEN) (plate, page 43) from TOURNANT DANGEREUX",Maurice de Vlaminck,(French),1930,"Lithograph, printed in black",Illustrated Book,Drawings & Prints,31443,정보없음,정보없음
Wax or The Discovery of Television Among Bees,David Blair,(),1991,"Video (black and white and color, sound)",Video,Media and Performance,120613,https://www.moma.org/collection/works/120613,정보없음
Corey from The Hundred Videos,Steve Reinke,(Canadian),1995,"Video (color, sound)",Video,Media and Performance,118409,https://www.moma.org/collection/works/118409,https://www.moma.org/media/W1siZiIsIjI1MjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=933801fcd91a0543
The Object,Everlyn Nicodemus,(Tanzanian),1988,Pencil and charcoal on paper,Drawing,Drawings & Prints,500252,https://www.moma.org/collection/works/500252,https://www.moma.org/media/W1siZiIsIjYxMDgyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c8be1533e66ce48c
