title,artist,nationality,date,medium,classification,department,object_id,url,image_url
Desk Mounts,August Endell,(German),c. 1899,Wrought iron and wood,Design,Architecture & Design,3338,https://www.moma.org/collection/works/3338,정보없음
Airplanes in Formation (Areoplani [sic] in formazione). Maquette for the journal L’ala d’Italia (The wing of Italy),"Studio R+M, Bruno Munari, Riccardo ""Ricas"" Castagnedi",() (Italian) (Italian),c. 1938,"Cut-and-pasted gelatin silver prints and printed paper on paper with gouache, ink, and pencil",Drawing,Drawings & Prints,218692,https://www.moma.org/collection/works/218692,https://www.moma.org/media/W1siZiIsIjQzNjgwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e5f953265f8aa079
Untitled from Unité,Le Corbusier (Charles-Édouard Jeanneret),(French),1963–65,One from a portfolio of twenty etchings,Print,Drawings & Prints,156399,https://www.moma.org/collection/works/156399,https://www.moma.org/media/W1siZiIsIjIzODkzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a3f11153f1c608fd
"Old Woman, Orchard Street",Lisette Model,(American),1942,Gelatin silver print,Photograph,Photography,44397,https://www.moma.org/collection/works/44397,https://www.moma.org/media/W1siZiIsIjQ0Mzg0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1108b6d1755907c9
Basel on the Rhine,Dieter Roth,(Swiss),1969,Chocolate and steel,Sculpture,Painting & Sculpture,80875,https://www.moma.org/collection/works/80875,https://www.moma.org/media/W1siZiIsIjIxMDEwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2ab892753c40ee7c
Drawing for Larry Miller's Orifice Flux Plugs,George Maciunas,(American),c. 1974,Ink on paper,Drawing,Drawings & Prints,136790,https://www.moma.org/collection/works/136790,https://www.moma.org/media/W1siZiIsIjM1NzUwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0b0676c4fe000e74
"Libertad Condicional, Autorretrato",Guillermo Núñez,(Chilean),1979,"Screenprint with cut-and-pasted paper from an artist's book of twenty-three screenprints, nine with cut-and-pasted paper, two with ink, and one with crayon additions all housed in a folder with screenprints on cover",Illustrated Book,Drawings & Prints,421478,정보없음,정보없음
"Flyer for Flux Game Fest, 80 Wooster Street, New York, May 19, 20, 26, 27, 1973",정보없음,정보없음,1973,Offset lithograph,Print,Drawings & Prints,127689,정보없음,정보없음
Bowl,Jacqueline Poncelet,(British),1974,Bone china,Design,Architecture & Design,2933,https://www.moma.org/collection/works/2933,https://www.moma.org/media/W1siZiIsIjUyMDE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f4aa9e5d36b2a49f
Mantinia,Matthew Carter,(British),1993,Digital typeface,Design,Architecture & Design,139309,https://www.moma.org/collection/works/139309,https://www.moma.org/media/W1siZiIsIjIwMjYxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a79d194cb409b7df
